	methods
1241	Kriging
1242	Kruskal–Wallis one-way analysis of variance
1243	Kuder–Richardson Formula 20
1244	Kuiper's test
1245	Kullback's inequality
1246	Kullback–Leibler divergence
1247	Kumaraswamy distribution
1248	Kurtosis
1249	Kushner equation
1250	L-estimator
1251	L-moment
1252	LISREL
1253	Laboratory quality control
1254	Labour Force Survey
1255	Lack-of-fit sum of squares
1256	Lady tasting tea
1257	Lag operator
1258	Lag windowing
1259	Tukey's lambda distribution
1260	Landau distribution
1261	Lander–Green algorithm
1262	Language model
1263	Laplace distribution
1264	Laplace principle (large deviations theory)
1265	LaplacesDemon
1266	Large deviations of Gaussian random functions
1267	Large deviations theory
1268	Latent Dirichlet allocation
1269	Latent class model
1270	Latent growth modeling
1271	Latent semantic analysis
1272	Latent variable
1273	Latent variable model
1274	Latin hypercube sampling
1275	Latin rectangle
1276	Latin square
1277	Law (stochastic processes)
1278	Law of averages
1279	Law of comparative judgment
1280	Law of large numbers
1281	Law of the iterated logarithm
1282	Law of the unconscious statistician
1283	Law of total covariance
1284	Law of total cumulance
1285	Law of total expectation
1286	Law of total probability
1287	Law of total variance
1288	Law of truly large numbers
1289	Layered hidden Markov model
1290	Le Cam's theorem
1291	Lead time bias
1292	Learning theory (statistics)
1293	Least-angle regression
1294	Least-squares spectral analysis
1295	Least absolute deviations
1296	Least squares
1297	Least squares support vector machine
1298	Least trimmed squares
1299	Leftover hash-lemma
1300	Lehmann–Scheffé theorem
1301	Length time bias
1302	Level of analysis
1303	Level of measurement
1304	Levenberg–Marquardt algorithm
1305	Levene's test
1306	Leverage (statistics)
1307	Levey–Jennings chart
1308	Lewontin's Fallacy
1309	Lexis diagram
1310	Lexis ratio
1311	Lies, damned lies, and statistics
1312	Life expectancy
1313	Life table
1314	Lift (data mining)
1315	Likelihood-ratio test
1316	Likelihood function
1317	Likelihood interval
1318	Likelihood principle
1319	Likelihood ratios in diagnostic testing
1320	Likert scale
1321	Lilliefors test
1322	Limited dependent variable
1323	Limiting density of discrete points
1324	Lincoln index
1325	Lindeberg's condition
1326	Lindley's paradox
1327	Lindley equation
1328	Line-intercept sampling
1329	Line chart
1330	Linear classifier
1331	Linear discriminant analysis
1332	Linear least squares (mathematics)
1333	Linear least squares (mathematics)
1334	Linear model
1335	Linear prediction
1336	Linear probability model
1337	Linear regression
1338	Linguistic demography
1339	Linnik distribution
1340	List of basic statistics topics
1341	List of convolutions of probability distributions
1342	List of fields of application of statistics
1343	List of graphical methods
1344	List of important publications in statistics
1345	List of information graphics software
1346	List of national and international statistical services
1347	List of probability distributions
1348	List of probability topics
1349	List of random number generators
1350	List of scientific journals in statistics
1351	List of statistical packages
1352	List of statisticians
1353	List of statistics journals
1354	List of stochastic processes topics
1355	List of timelines
1356	Lists of countries and territories
1357	Lists of country-related topics
1358	Lists of people
1359	Lists of statistics topics
1360	Listwise deletion
1361	Little's law
1362	Littlewood's law
1363	Ljung–Box test
1364	Local asymptotic normality
1365	Local convex hull
1366	Local independence
1367	Local martingale
1368	Local regression
1369	Locality (statistics)
1370	Location-scale family
1371	Location estimation
1372	Location estimation in sensor networks
1373	Location parameter
1374	Location test
1375	Location testing for Gaussian scale mixture distributions
1376	Location–scale family
1377	Loess curve
1378	Log-Cauchy distribution
1379	Log-Laplace distribution
1380	Log-linear analysis
1381	Log-linear model
1382	Log-linear modeling
1383	Log-log plot
1384	Log-logistic distribution
1385	Log-normal distribution
1386	Log-rank test
1387	Logarithmic distribution
1388	Logarithmic mean
1389	Logistic distribution
1390	Logistic function
1391	Logistic regression
1392	Logit
1393	Logit-normal distribution
1394	Logit analysis in marketing
1395	Logrank test
1396	Lomax distribution
1397	Long-range dependency
1398	Long-tail traffic
1399	Long Tail
1400	Longitudinal study
1401	Longstaff–Schwartz model
1402	Lorenz curve
1403	Loss function
1404	Lot quality assurance sampling
1405	Lotka's law
1406	Low birth weight paradox
1407	Lp space
1408	Luby transform code
1409	Lucia de Berk
1410	Lukacs's proportion-sum independence theorem
1411	Lumpability
1412	Lusser's law
1413	Lyapunov's central limit theorem
1414	Lévy's continuity theorem
1415	Lévy's convergence theorem
1416	Lévy arcsine law
1417	Lévy distribution
1418	Lévy flight
1419	Lévy process
1420	M-estimator
1421	M-separation
1422	M/D/1 queue
1423	M/G/1 queue
1424	M/M/1 queue
1425	M/M/c queue
1426	Multivariate analysis of covariance
1427	MANOVA
1428	MAP estimator
1429	MCAR
1430	MINQUE
1431	MLwiN
1432	Mabinogion sheep problem
1433	Machine learning
1434	Mahalanobis distance
1435	Main effect
1436	Mallows's Cp
1437	Manhattan plot
1438	Mann–Whitney U
1439	Mann–Whitney U test
1440	Mantel test
1441	Marchenko–Pastur distribution
1442	Marcinkiewicz–Zygmund inequality
1443	Marcum Q-function
1444	Margin of error
1445	Marginal conditional stochastic dominance
1446	Marginal distribution
1447	Marginal likelihood
1448	Marginal model
1449	Marginal variable
1450	Mark and recapture
1451	Markov's inequality
1452	Markov additive process
1453	Markov blanket
1454	Markov chain
1455	Markov chain Monte Carlo
1456	Markov chain geostatistics
1457	Markov chain mixing time
1458	Markov decision process
1459	Markov information source
1460	Markov kernel
1461	Markov logic network
1462	Markov model
1463	Markov network
1464	Markov process
1465	Markov property
1466	Markov random field
1467	Markov renewal process
1468	Markovian arrival processes
1469	Marsaglia polar method
1470	Martingale (probability theory)
1471	Martingale central limit theorem
1472	Martingale difference sequence
1473	Martingale representation theorem
1474	Master equation
1475	Matched filter
1476	Matching (statistics)
1477	Matching pursuit
1478	Mathematica
1479	Mathematical biology
1480	Mathematical modelling in epidemiology
1481	Mathematical modelling of infectious disease
1482	Mathematical statistics
1483	Matrix gamma distribution
1484	Matrix normal distribution
1485	Matrix population models
1486	Matrix t-distribution
1487	Matthews correlation coefficient
1488	Matérn covariance function
1489	Mauchly's sphericity test
1490	Maximal ergodic theorem
1491	Maximal information coefficient
1492	Maximum-entropy Markov model
1493	Maximum a posteriori estimation
1494	Maximum entropy classifier
1495	Maximum entropy method
1496	Maximum entropy probability distribution
1497	Maximum entropy spectral estimation
1498	Maximum likelihood
1499	Maximum likelihood sequence estimation
1500	Maximum parsimony
1501	Maximum spacing estimation
1502	Maxwell's theorem
1503	Maxwell speed distribution
1504	Maxwell–Boltzmann distribution
1505	Mazziotta–Pareto index
1506	McCullagh's parametrization of the Cauchy distributions
1507	McDiarmid's inequality
1508	McDonald–Kreitman test
1509	McKay's approximation for the coefficient of variation
1510	McNemar's test
1511	Meadow's law
1512	Mean
1513	Mean-reverting process
1514	Mean absolute difference
1515	Mean absolute error
1516	Mean absolute percentage error
1517	Mean absolute scaled error
1518	Mean and predicted response
1519	Mean signed deviation
1520	Mean integrated squared error
1521	Mean of circular quantities
1522	Mean percentage error
1523	Mean preserving spread
1524	Mean reciprocal rank
1525	Mean signed difference
1526	Mean square quantization error
1527	Mean square weighted deviation
1528	Mean squared error
1529	Mean squared prediction error
1530	Mean time between failures
1531	Mean value analysis
1532	Measurement invariance
1533	MedCalc
1534	Median
1535	Median-unbiased estimator
1536	Median absolute deviation
1537	Median polish
1538	Median test
1539	Mediation (statistics)
1540	Medical statistics
1541	Medoid
1542	Memorylessness
1543	Mendelian randomization
1544	Meta-analysis
1545	Meta-regression
1546	MetaNSUE
1547	Method of moments (statistics)
1548	Method of simulated moments
1549	Method of support
1550	Methods engineering
1551	Metropolis–Hastings algorithm
1552	Mexican paradox
1553	Microdata (statistics)
1554	Mid-range
1555	Midhinge
1556	MinHash
1557	Minimax
1558	Minimax estimator
1559	Minimisation (clinical trials)
1560	Minimum-variance unbiased estimator
1561	Minimum chi-square estimation
1562	Minimum distance estimation
1563	Minimum mean square error
1564	Minimum viable population
1565	Minitab
1566	Misleading graph
1567	Missing completely at random
1568	Missing data
1569	Misuse of statistics
1570	Mittag–Leffler distribution
1571	Mixed-design analysis of variance
1572	Mixed data sampling
1573	Mixed logit
1574	Mixed model
1575	Mixing (mathematics)
1576	Mixture (probability)
1577	Mixture distribution
1578	Mixture model
1579	Mode (statistics)
1580	Model output statistics
1581	Model selection
1582	Moderation (statistics)
1583	Moderator variable
1584	Modifiable areal unit problem
1585	Moffat distribution
1586	Moment-generating function
1587	Moment (mathematics)
1588	Moment problem
1589	Monotone likelihood ratio
1590	Monte Carlo integration
1591	Monte Carlo method
1592	Monte Carlo method for photon transport
1593	Monte Carlo methods for option pricing
1594	Monte Carlo methods in finance
1595	Monte Carlo molecular modeling
1596	Moral graph
1597	Moran's I
1598	Moran process
1599	Morisita's overlap index
1600	Morris method
1601	Mortality rate
1602	Most probable number
1603	Moving-average model
1604	Moving average
1605	Moving average representation
1606	Moving least squares
1607	Multi-armed bandit
1608	Multi-vari chart
1609	Multiclass LDA
1610	Multiclass classification
1611	Multicollinearity
1612	Multidimensional Chebyshev's inequality
1613	Multidimensional analysis
1614	Multidimensional panel data
1615	Multidimensional scaling
1616	Multifactor design of experiments software
1617	Multifactor dimensionality reduction
1618	Multilevel model
1619	Multilinear principal-component analysis
1620	Multilinear principal component analysis
1621	Multinomial distribution
1622	Multinomial logistic regression
1623	Multinomial probit
1624	Multinomial test
1625	Multiple-indicator kriging
1626	Multiple-try Metropolis
1627	Multiple Indicator Cluster Survey
1628	Multiple baseline design
1629	Multiple comparisons
1630	Multiple correlation
1631	Multiple correspondence analysis
1632	Multiple discriminant analysis
1633	Multiple of the median
1634	Multiple testing correction
1635	Multiresolution analysis
1636	Multiscale decision making
1637	Multiscale geometric analysis
1638	Multistage sampling
1639	Multistage testing
1640	Multitaper
1641	Multitrait-multimethod matrix
1642	Multivariate Pareto distribution
1643	Multivariate Pólya distribution
1644	Multivariate Student distribution
1645	Multivariate adaptive regression splines
1646	Multivariate analysis
1647	Multivariate analysis of variance
1648	Multivariate distribution
1649	Multivariate kernel density estimation
1650	Multivariate normal distribution
1651	Multivariate probit
1652	Multivariate probit model
1653	Multivariate random variable
1654	Multivariate stable distribution
1655	Multivariate statistics
1656	Multivariate t-distribution
1657	NCSS (statistical software)
1658	N = 1 fallacy
1659	N of 1 trial
1660	Naive Bayes classifier
1661	Nakagami distribution
1662	Nash–Sutcliffe model efficiency coefficient
1663	National Health Interview Survey
1664	National accounts
1665	Natural experiment
1666	Natural exponential family
1667	Natural process variation
1668	Nearest-neighbor chain algorithm
1669	Negative binomial distribution
1670	Negative multinomial distribution
1671	Negative predictive value
1672	Negative relationship
1673	Negentropy
1674	Neighbor joining
1675	Neighbourhood components analysis
1676	Nelson rules
1677	Nelson–Aalen estimator
1678	Nemenyi test
1679	Nested case-control study
1680	Nested sampling algorithm
1681	Network probability matrix
1682	Neural network
1683	Neutral vector
1684	Newcastle–Ottawa scale
1685	Newey–West estimator
1686	Newman–Keuls method
1687	Neyer d-optimal test
1688	Neyman construction
1689	Neyman–Pearson lemma
1690	Nicholson–Bailey model
1691	Nominal category
1692	Non-homogeneous Poisson process
1693	Non-linear iterative partial least squares
1694	Non-linear least squares
1695	Non-negative matrix factorization
1696	Non-parametric statistics
1697	Non-response bias
1698	Non-sampling error
1699	Noncentral F-distribution
1700	Noncentral beta distribution
1701	Noncentral chi-squared distribution
1702	Noncentral chi distribution
1703	Noncentral hypergeometric distributions
1704	Noncentral t-distribution
1705	Noncentrality parameter
1706	Nonlinear autoregressive exogenous model
1707	Nonlinear dimensionality reduction
1708	Nonlinear regression
1709	Nonparametric regression
1710	Nonparametric skew
1711	Nonparametric statistics
1712	Nonprobability sampling
1713	Normal-exponential-gamma distribution
1714	Normal-gamma distribution
1715	Normal-inverse Gaussian distribution
1716	Normal-scaled inverse gamma distribution
1717	Normal curve equivalent
1718	Normal distribution
1719	Normal probability plot
1720	Normal score
1721	Normal variance-mean mixture
1722	Normality test
1723	Normalization (statistics)
1724	Normally distributed and uncorrelated does not imply independent
1725	Notation in probability and statistics
1726	Novikov's condition
1727	Np-chart
1728	Nuisance parameter
1729	Nuisance variable
1730	Null distribution
1731	Null hypothesis
1732	Null result
1733	NumXL
1734	Numerical data
1735	Numerical methods for linear least squares
1736	Numerical parameter
1737	Numerical smoothing and differentiation
1738	Nuremberg Code
1739	Observable variable
1740	Observational equivalence
1741	Observational error
1742	Observational study
1743	Observed information
1744	Occupancy frequency distribution
1745	Odds
1746	Odds algorithm
1747	Odds ratio
1748	Official statistics
1749	Ogden tables
1750	Ogive (statistics)
1751	Omitted-variable bias
1752	Omnibus test
1753	One- and two-tailed tests
1754	One-class classification
1755	One-factor-at-a-time method
1756	One-tailed test
1757	One-way analysis of variance
1758	Online NMF
1759	Open-label trial
1760	OpenBUGS
1761	OpenEpi
1762	Operational confound
1763	Operational sex ratio
1764	Operations research
1765	Opinion poll
1766	Optimal decision
1767	Optimal design
1768	Optimal discriminant analysis
1769	Optimal matching
1770	Optimal stopping
1771	Optimality criterion
1772	Optimistic knowledge gradient
1773	Optional stopping theorem
1774	Order of a kernel
1775	Order of integration
1776	Order statistic
1777	Ordered logit
1778	Ordered probit
1779	Ordered subset expectation maximization
1780	Ordinal regression
1781	Ordinary least squares
1782	Ordination (statistics)
1783	Ornstein–Uhlenbeck process
1784	Orthogonal array testing
1785	Orthogonality
1786	Orthogonality principle
1787	Outlier
1788	Outliers in statistics
1789	Outliers ratio
1790	Outline of probability
1791	Outline of regression analysis
1792	Outline of statistics
1793	Overdispersion
1794	Overfitting
1795	Owen's T function
1796	OxMetrics
1797	P-chart
1798	P-rep
1799	P-value
1800	PARAFAC
1801	PRESS statistic
1802	PSPP
1803	Page's trend test
1804	Paid survey
1805	Paired comparison analysis
1806	Paired difference test
1807	Pairwise comparison
1808	Pairwise independence
1809	Paley–Zygmund inequality
1810	Panel analysis
1811	Panel data
1812	Panjer recursion
1813	Parabolic fractal distribution
1814	Paradigm (experimental)
1815	Parallel coordinates
1816	Parallel factor analysis
1817	Parameter identification problem
1818	Parameter space
1819	Parametric family
1820	Parametric model
1821	Parametric statistics
1822	Pareto analysis
1823	Pareto chart
1824	Pareto distribution
1825	Pareto index
1826	Pareto interpolation
1827	Pareto principle
1828	Park test
1829	Partial autocorrelation
1830	Partial autocorrelation function
1831	Partial correlation
1832	Partial least squares
1833	Partial least squares regression
1834	Partial leverage
1835	Partial regression plot
1836	Partial residual plot
1837	Particle filter
1838	Partition of sums of squares
1839	Parzen window
1840	Path analysis (statistics)
1841	Path coefficient
1842	Path space (disambiguation)
1843	Pattern recognition
1844	Pearson's chi-squared test
1845	Pearson correlation coefficient
1846	Pearson distribution
1847	Pearson product-moment correlation coefficient
1848	Pedometric mapping
1849	Peirce's criterion
1850	Pensim2
1851	People v. Collins
1852	Per-comparison error rate
1853	Per-protocol analysis
1854	Per capita
1855	Percentage point
1856	Percentile
1857	Percentile rank
1858	Periodic variation
1859	Periodogram
1860	Permutation test
1861	Pharmaceutical statistics
1862	Phase-type distribution
1863	Phase dispersion minimization
1864	Phi coefficient
1865	Phillips–Perron test
1866	Philosophy of probability
1867	Philosophy of statistics
1868	Pickands–Balkema–de Haan theorem
1869	Pie chart
1870	Piecewise-deterministic Markov process
1871	Pignistic probability
1872	Pinsker's inequality
1873	Pitman closeness criterion
1874	Pitman–Koopman–Darmois theorem
1875	Pitman–Yor process
1876	Pivotal quantity
1877	Placebo-controlled study
1878	Plackett–Burman design
1879	Plate notation
1880	Player wins
1881	Plot (graphics)
1882	Plug-in principle
1883	Pocock boundary
1884	Poincaré plot
1885	Point-biserial correlation coefficient
1886	Point estimation
1887	Point pattern analysis
1888	Point process
1889	Poisson binomial distribution
1890	Poisson distribution
1891	Poisson hidden Markov model
1892	Poisson limit theorem
1893	Poisson process
1894	Poisson random numbers
1895	Poisson regression
1896	Poisson sampling
1897	Policy capturing
1898	Political forecasting
1899	Pollaczek–Khinchine formula
1900	Pollyanna Creep
1901	Poly-Weibull distribution
1902	Polychoric correlation
1903	Polykay
1904	Polynomial and rational function modeling
1905	Polynomial chaos
1906	Polynomial regression
1907	Polytomous Rasch model
1908	Polytree
1909	Pooled standard deviation
1910	Pooled variance
1911	Pooling design
1912	Popoviciu's inequality on variances
1913	Population (statistics)
1914	Population dynamics
1915	Population ecology
1916	Population genetics
1917	Population modeling
1918	Population process
1919	Population pyramid
1920	Population statistics
1921	Population variance
1922	Population viability analysis
1923	Portmanteau test
1924	Positive predictive value
1925	Post-hoc analysis
1926	Posterior predictive distribution
1927	Posterior probability
1928	Power (statistics)
1929	Power law
1930	Power transform
1931	Prais–Winsten estimation
1932	Pre- and post-test probability
1933	Precision (statistics)
1934	Precision and recall
1935	Prediction interval
1936	Predictive analytics
1937	Predictive inference
1938	Predictive informatics
1939	Predictive intake modelling
1940	Predictive modelling
1941	Predictive validity
1942	Preference regression (in marketing)
1943	Preferential attachment
1944	Prevalence
1945	Principal component analysis
1946	Principal component regression
1947	Principal geodesic analysis
1948	Principal stratification
1949	Principle of indifference
1950	Principle of marginality
1951	Principle of maximum entropy
1952	Prior knowledge for pattern recognition
1953	Prior probability
1954	Prior probability distribution
1955	Probabilistic causation
1956	Probabilistic design
1957	Probabilistic forecasting
1958	Probabilistic latent semantic analysis
1959	Probabilistic metric space
1960	Probabilistic proposition
1961	Probabilistic relational model
1962	Probability
1963	Probability-generating function
1964	Probability and statistics
1965	Probability bounds analysis
1966	Probability box
1967	Probability density function
1968	Probability distribution
1969	Probability distribution function
1970	Probability integral transform
1971	Probability interpretations
1972	Probability mass function
1973	Probability matching
1974	Probability metric
1975	Probability of error
1976	Probability of precipitation
1977	Probability plot
1978	Probability plot correlation coefficient
1979	Probability plot correlation coefficient plot
1980	Probability space
1981	Probability theory
1982	Probable error
1983	Probit
1984	Probit model
1985	Procedural confound
1986	Process Window Index
1987	Process control
1988	Procrustes analysis
1989	Product distribution
1990	Product form solution
1991	Proebsting's paradox
1992	Profile likelihood
1993	Prognostics
1994	Progressively measurable process
1995	Projection pursuit
1996	Projection pursuit regression
1997	Proof of Stein's example
1998	Propagation of uncertainty
1999	Propensity probability
2000	Propensity score
2001	Propensity score matching
2002	Proper linear model
2003	Proportional hazards model
2004	Proportional hazards models
2005	Proportional reduction in loss
2006	Prosecutor's fallacy
2007	Proxy (statistics)
2008	Psephology
2009	Pseudo-determinant
2010	Pseudo-random number sampling
2011	Pseudocount
2012	Pseudolikelihood
2013	Pseudomedian
2014	Pseudoreplication
2015	Psychological statistics
2016	Psychometrics
2017	Pythagorean expectation
2018	P–P plot
2019	Q-Gaussian distribution
2020	Q-exponential distribution
2021	Q-function
2022	Q-statistic
2023	Q test
2024	Quadrant count ratio
2025	Quadrat
2026	Quadratic classifier
2027	Quadratic form (statistics)
2028	Quadratic variation
2029	Qualitative comparative analysis
2030	Qualitative data
2031	Qualitative variation
2032	Quality control
2033	Quantile
2034	Quantile function
2035	Quantile normalization
2036	Quantile regression
2037	Quantitative marketing research
2038	Quantitative psychological research
2039	Quantitative research
2040	Quantum (Statistical programming language)
2041	Quartile
2042	Quartile coefficient of dispersion
2043	Quasi-birth–death process
2044	Quasi-experiment
2045	Quasi-likelihood
2046	Quasi-maximum likelihood
2047	Quasi-variance
2048	Quasireversibility
2049	Questionnaire
2050	Queueing model
2051	Queueing theory
2052	Queuing delay
2053	Quota sampling
2054	Q–Q plot
2055	RANSAC
2056	RV coefficient
2057	R (programming language)
2058	R v Adams
2059	Radar chart
2060	Rademacher distribution
2061	Radial basis function network
2062	Raikov's theorem
2063	Raised cosine distribution
2064	Ramaswami's formula
2065	Ramsey RESET test
2066	Rand index
2067	Random assignment
2068	Random compact set
2069	Random effects model
2070	Random element
2071	Random field
2072	Random function
2073	Random graph
2074	Random matrix
2075	Random measure
2076	Random multinomial logit
2077	Random naive Bayes
2078	Random permutation statistics
2079	Random regular graph
2080	Random sample
2081	Random sampling
2082	Random sequence
2083	Random variable
2084	Random variate
2085	Random walk
2086	Random walk hypothesis
2087	Randomization
2088	Randomization test
2089	Randomized block design
2090	Randomized controlled trial
2091	Randomized decision rule
2092	Randomized experiment
2093	Randomized response
2094	Randomness
2095	Randomness tests
2096	Range (statistics)
2097	Rank-size distribution
2098	Rank abundance curve
2099	Rank correlation
2100	Rank product
2101	Rank statistics
2102	Ranking
2103	Rankit
2104	Ranklet
2105	Rao–Blackwell theorem
2106	Rasch model
2107	Rasch model estimation
2108	Ratio distribution
2109	Ratio estimator
2110	Rational quadratic covariance function
2111	Raw score
2112	Rayleigh distribution
2113	Rayleigh mixture distribution
2114	Realization (probability)
2115	Recall bias
2116	Receiver operating characteristic
2117	Reciprocal distribution
2118	Rectified Gaussian distribution
2119	Recurrence period density entropy
2120	Recurrence plot
2121	Recurrence quantification analysis
2122	Recursive Bayesian estimation
2123	Recursive least squares
2124	Recursive partitioning
2125	Redescending M-estimator
2126	Reduced form
2127	Reference class problem
2128	Reflected Brownian motion
2129	Regenerative process
2130	Regression-kriging
2131	Regression Analysis of Time Series
2132	Regression analysis
2133	Regression control chart
2134	Regression diagnostic
2135	Regression dilution
2136	Regression discontinuity design
2137	Regression estimation
2138	Regression fallacy
2139	Regression model validation
2140	Regression toward the mean
2141	Regret (decision theory)
2142	Reification (statistics)
2143	Rejection sampling
2144	Relationships among probability distributions
2145	Relative change and difference
2146	Relative efficiency
2147	Relative index of inequality
2148	Relative risk
2149	Relative risk reduction
2150	Relative standard deviation
2151	Relative standard error
2152	Relative survival
2153	Relative variance
2154	Relativistic Breit–Wigner distribution
2155	Relevance vector machine
2156	Reliability (statistics)
2157	Reliability block diagram
2158	Reliability engineering
2159	Reliability theory
2160	Reliability theory of aging and longevity
2161	Rencontres numbers
2162	Renewal theory
2163	Repeatability
2164	Repeated measures design
2165	Replication (statistics)
2166	Representation validity
2167	Reproducibility
2168	Resampling (statistics)
2169	Rescaled range
2170	Resentful demoralization
2171	Residual sum of squares
2172	Response bias
2173	Response rate (survey)
2174	Response surface methodology
2175	Response variable
2176	Restricted maximum likelihood
2177	Restricted randomization
2178	Reversible-jump Markov chain Monte Carlo
2179	Reversible dynamics
2180	Rice distribution
2181	Richardson–Lucy deconvolution
2182	Ridge regression
2183	Ridit scoring
2184	Rind et al. controversy
2185	Risk adjusted mortality rate
2186	Risk factor
2187	Risk function
2188	Risk perception
2189	Risk theory
2190	Risk–benefit analysis
2191	Robbins lemma
2192	Robust Bayesian analysis
2193	Robust confidence intervals
2194	Robust measures of scale
2195	Robust regression
2196	Robust statistics
2197	Root-mean-square deviation
2198	Root mean square
2199	Root mean square deviation (bioinformatics)
2200	Root mean square fluctuation
2201	Ross's conjecture
2202	Rossmo's formula
2203	Rothamsted Experimental Station
2204	Round robin test
2205	Rubin causal model
2206	Ruin theory
2207	Rule of succession
2208	Rule of three (medicine)
2209	Run chart
2210	S-PLUS
2211	SAS (software)
2212	SAS language
2213	SCORUS
2214	SDMX
2215	SETAR (model)
2216	SHAZAM (software)
2217	SOFA Statistics
2218	SPC XL
2219	SPRT
2220	SPSS
2221	SPSS Clementine
2222	STAR model
2223	STATISTICA
2224	SUDAAN
2225	SYSTAT (statistics)
2226	S (programming language)
2227	Safety in numbers
2228	Sally Clark
2229	Sammon projection
2230	Sample-continuous process
2231	Sample (statistics)
2232	Sample maximum and minimum
2233	Sample mean and covariance
2234	Sample mean and sample covariance
2235	Sample median
2236	Sample size determination
2237	Sample space
2238	Sample standard deviation (disambiguation)
2239	Sampling (statistics)
2240	Sampling bias
2241	Sampling design
2242	Sampling distribution
2243	Sampling error
2244	Sampling fraction
2245	Sampling frame
2246	Sampling probability
2247	Sampling risk
2248	Samuelson's inequality
2249	Sargan test
2250	Saturated array
2251	Savitzky–Golay smoothing filter
2252	Sazonov's theorem
2253	Scale analysis (statistics)
2254	Scale parameter
2255	Scaled-inverse-chi-squared distribution
2256	Scaling pattern of occupancy
2257	Scatter matrix
2258	Scatter plot
2259	Scatterplot smoothing
2260	Scheffé's method
2261	Schilder's theorem
2262	Schramm–Loewner evolution
2263	Schuette–Nesbitt formula
2264	Schwarz criterion
2265	Scientific control
2266	Score (statistics)
2267	Score test
2268	Scoring algorithm
2269	Scoring rule
2270	Scott's Pi
2271	Seasonal adjustment
2272	Seasonal subseries plot
2273	Seasonal variation
2274	Seasonality
2275	Seasonally adjusted annual rate
2276	Second moment method
2277	Secretary problem
2278	Secular variation
2279	Seed-based d mapping
2280	Seemingly unrelated regressions
2281	Segmented regression
2282	Seismic inversion
2283	Seismic to simulation
2284	Selection bias
2285	Selective recruitment
2286	Self-organizing map
2287	Self-selection bias
2288	Self-similar process
2289	Self-similarity matrix
2290	Semantic mapping (statistics)
2291	Semantic relatedness
2292	Semantic similarity
2293	Semi-Markov process
2294	Semi-log graph
2295	Semidefinite embedding
2296	Semimartingale
2297	Semiparametric model
2298	Semiparametric regression
2299	Semivariance
2300	Sensitivity (tests)
2301	Sensitivity analysis
2302	Sensitivity and specificity
2303	Sensitivity index
2304	Separation test
2305	Sequential Monte Carlo methods
2306	Sequential analysis
2307	Sequential estimation
2308	Sequential probability ratio test
2309	Serial dependence
2310	Seriation (archaeology)
2311	Sethi model
2312	Seven-number summary
2313	Sexual dimorphism measures
2314	Shannon–Hartley theorem
2315	Shape of the distribution
2316	Shape parameter
2317	Shapiro–Wilk test
2318	Sharpe ratio
2319	Shewhart individuals control chart
2320	Shifted Gompertz distribution
2321	Shifted log-logistic distribution
2322	Shifting baseline
2323	Shrinkage (statistics)
2324	Shrinkage estimator
2325	Sichel distribution
2326	Siegel–Tukey test
2327	Sieve estimator
2328	Sigma-algebra
2329	SigmaStat
2330	Sign test
2331	Signal-to-noise ratio
2332	Signal-to-noise statistic
2333	Significance analysis of microarrays
2334	Silhouette (clustering)
2335	Simfit
2336	Similarity matrix
2337	Simon model
2338	Simple linear regression
2339	Simple moving average crossover
2340	Simple random sample
2341	Simple random sampling
2342	Simpson's paradox
2343	Simulated annealing
2344	Simultaneous equation methods (econometrics)
2345	Simultaneous equations model
2346	Single-linkage clustering
2347	Single equation methods (econometrics)
2348	Singular distribution
2349	Singular spectrum analysis
2350	Sinkov statistic
2351	Sinusoidal model
2352	Size (statistics)
2353	Skellam distribution
2354	Skew normal distribution
2355	Skewness
2356	Skorokhod's representation theorem
2357	Slash distribution
2358	Slice sampling
2359	Sliced inverse regression
2360	Slutsky's theorem
2361	Small area estimation
2362	Smearing retransformation
2363	Smoothing
2364	Smoothing spline
2365	Smoothness (probability theory)
2366	Snowball sampling
2367	Sobel test
2368	Social network change detection
2369	Social statistics
2370	Soliton distribution
2371	Somers' D
2372	Spaghetti plot
2373	Sparse PCA
2374	Sparse binary polynomial hashing
2375	Sparsity-of-effects principle
2376	Spatial analysis
2377	Spatial dependence
2378	Spatial descriptive statistics
2379	Spatial distribution
2380	Spatial econometrics
2381	Spatial statistics
2382	Spatial variability
2383	Spearman's rank correlation coefficient
2384	Spearman–Brown prediction formula
2385	Species discovery curve
2386	Specification (regression)
2387	Specificity (tests)
2388	Spectral clustering
2389	Spectral density
2390	Spectral density estimation
2391	Spectrum bias
2392	Spectrum continuation analysis
2393	Speed prior
2394	Spherical design
2395	Split normal distribution
2396	Spurious relationship
2397	Square root biased sampling
2398	Squared deviations
2399	St. Petersburg paradox
2400	Stability (probability)
2401	Stable distribution
2402	Standard deviation
2403	Standard error
2404	Standard normal deviate
2405	Standard normal table
2406	Standard probability space
2407	Standard score
2408	Standardised mortality rate
2409	Standardized coefficient
2410	Standardized moment
2411	Standardized mortality ratio
2412	Standardized rate
2413	Stanine
2414	Star plot
2415	StatPlus
2416	StatXact
2417	Stata
2418	State space representation
2419	Statgraphics
2420	Static analysis
2421	Stationary distribution
2422	Stationary ergodic process
2423	Stationary process
2424	Stationary sequence
2425	Stationary subspace analysis
2426	Statistic
2427	Statistical Lab
2428	Statistical arbitrage
2429	Statistical assembly
2430	Statistical assumption
2431	Statistical benchmarking
2432	Statistical classification
2433	Statistical conclusion validity
